centre_code,centre_name,postal_code,Latitude,Longitude
KM0009,MOE KINDERGARTEN @ FRONTIER,648200,1.3366,103.6997
KM0038,MOE Kindergarten @ Jurong West,648368,1.3394,103.6988
KM0014,MOE KINDERGARTEN @ SPRINGDALE,544799,1.3948,103.8898
YM0070,MY WORLD PRESCHOOL LTD.,670217,1.3749,103.7735
RC1904,Little Seeds Preschool,139790,1.3067,103.7825
PT9229,MINDCHAMPS CHINESE PRESCHOOL@TAMPINES CENTRAL PRIVATE LIMITED,529540,1.3527,103.9429
RC1420,NEW LIFE COMMUNITY SERVICES,677740,1.3862,103.7669
PT2810,SHAWS CDLC @ BRADDELL HEIGHTS PTE LTD,358666,1.3472,103.8631
PT8896,SHAWS CDLC @ MOUNTBATTEN PTE. LTD.,437130,1.3031,103.8971
PT8384,SHAWS CDLC @ MOUNTBATTEN PTE LTD,437839,1.3033,103.8995
NT0400,MY FIRST SKOOL,750331,1.4475,103.8167
PT8438,JUST KIDS @ JURONG PTE. LTD.,600255,1.3443,103.7379
PT9581,Totsville Montessori Kindergarten (Bishan),570230,1.3579,103.8455
PT9580,Totsville Montessori Kindergarten Pte Ltd,510720,1.3816,103.9365
ST0364,PCF Sparkletots Preschool @ Fernvale Blk 416A (DS),791416,1.3906,103.88
ST0200,PCF Sparkletots Preschool @ Fernvale Blk 443 (EY),791443,1.3912,103.8743
PT9283,KidsCampus Whampoa Pte Ltd,327737,1.3247,103.8571
PT9719,Al-Amin Preschool (Pasir Ris),510570,1.3728,103.9465
ST0387,PCF Sparkletots Preschool @ Teck Ghee Blk 227 (EY),560227,1.36899,103.8403
PT9812,Spring Brainy Kidz (Twin VEW),126756,1.3197,103.7527
PT9811,Kidya Childcare Pte Ltd,425500,1.3118,103.9106
PT9808,Brighton Montessori @ Harbourfront,99253,1.2637,103.8199
PT9807,LES OLIVIERS,267211,1.324,103.7968
EB0021,E-Bridge Pre-School Pte Ltd,522875,1.3529,103.9295
PT8471,PLANET MONTESSORI PTE. LTD.,467960,1.3196,103.9521
PT9318,STAR LEARNERS @ CHANGI SIMEI PTE. LTD.,520114,1.3438,103.9504
YM0153,MY WORLD PRESCHOOL LTD.,610354,1.3392,103.7209
PT9445,First Steps Preschool @ Macpherson,349318,1.3288,103.8792
PT9067,BUSY BEES SINGAPORE PTE.LTD.,761348,1.4274,103.8412
ST0170,PCF Sparkletots Preschool @ Kreta Ayer-Kim Seng Blk 8 (DS),380008,1.3127,103.8707
WP1113,Little Seeds Preschool,309070,1.3168,103.8384
RC1795,St. James' Church Kindergarten (Gilstead),309070,1.3168,103.8384
PT9806,Alpha Green Preschool Pte. Ltd,678541,1.3599,103.7685
ST0174,PCF Sparkletots Preschool @ Brickland Blk 807C (CC),683807,1.3762,103.7458
PT8344,DISCOVERY KIDZ PRESCHOOL PTE. LTD.,489773,1.327,103.9513
PT9082,IMONTESSORI PTE. LTD.,339511,1.3097,103.8642
PT9511,THE LITTLE SKOOL-HOUSE INTERNATIONAL PTE LTD,529757,1.3458,103.932
RC1765,BETHEL CHILD DEVELOPMENT CENTRE,380111,1.3204,103.8841
PT9159,Little Footprints Preschool Pte Ltd,541201,1.389,103.8928
RC1829,BARKER ROAD METHODIST CHURCH KINDERGARTEN,309936,1.3191,103.8346
RC0420,Little Shepherds' Schoolhouse@Church of Our Lady Star of the Sea,760235,1.4343,103.8386
YW0150,YWCA PASIR RIS CHILD DEVELOPMENT CENTRE,510214,1.3677,103.9613
PT9479,BUSY BEES SINGAPORE PTE LTD,757044,1.4431,103.8159
PT8718,AMAZING STAR MONTESSORI HOUSE (SK2),548674,1.3934,103.9005
ST0346,PCF Sparkletots Preschool @ Canberra Blk 330 (DS),750330,1.4468,103.8178
NT0528,MY FIRST SKOOL,541314,1.391,103.8891
ST0326,PCF Sparkletots Preschool @ Zhenghua Blk 620 (KN),670620,1.3859,103.7617
PT9338,MAPLEBEAR LITTLE CAMPUS PTE LTD,787013,1.4031,103.8189
RC1260,ASPIRATION CHILD CARE CENTRE,520871,1.3544,103.9327
PT6100,LEARNING KIDZ EDUCARE PTE. LTD.,529653,1.3523,103.9419
ST0008,PCF Sparkletots Preschool @ Sengkang East Blk 194 (CC),540194,1.3926,103.9016
PT9506,MAPLEBEAR LEARNING SCHOOLHOUSE PTE LTD,534818,1.3368,103.8869
PT9708,Bibinogs Preschool K.A. Pte Ltd,269695,1.3232,103.8107
PT9502,STAR LEARNERS @ BUKIT MERAH PTE. LTD.,160134,1.2788,103.8277
PT9631,Seeds D' Learning House,423731,1.3065,103.9053
PT8441,SEEDS LEARNING PLACE @ TIDES PTE LTD,428915,1.3076,103.9069
RC1776,AWWA LTD.,159053,1.2868,103.8144
RC1470,Kidz Meadow Childcare and Development Centre (Yew Tee),680612,1.4,103.7444
PT3460,Sunshine Kids Preschool @Woodlands Pte Ltd,730795,1.4429,103.8041
ST0203,PCF SPARKLETOTS PRESCHOOL @ BUKIT TIMAH BLK 319 (EY),120319,1.3174,103.7648
ST0176,PCF SPARKLETOTS PRESCHOOL @ QUEENSTOWN BLK 53A (CC),143053,1.2933,103.8076
ST0129,PCF SPARKLETOTS PRESCHOOL @ BUKIT TIMAH BLK 12 (CC),590012,1.3384,103.7727
PT9107,TWINKLEKIDZ PLAYHOUSE PTE. LTD.,319579,1.3374,103.8485
