BLK_NO,ROAD_NAME,POSTAL,LATITUDE,LONGITUDE
10,JALAN KUKOH,162010,1.286973834,103.8390758
538,JURONG WEST AVENUE 1,640538,1.349993899,103.715473
352,TAMPINES STREET 33,520352,1.354165275,103.9624426
370,WOODLANDS AVENUE 1,730370,1.432542705,103.7873877
314,TAMPINES STREET 33,520314,1.352217026,103.9571261
808,TAMPINES AVENUE 4,520808,1.346494838,103.9360476
602,WOODLANDS DRIVE 42,730602,1.438217416,103.7963915
271C,PUNGGOL WALK,823271,1.403941659,103.9010343
37,TANGLIN HALT ROAD,140037,1.297772317,103.7980171
401,CHOA CHU KANG AVENUE 3,680401,1.379692642,103.7397607
301,JURONG EAST STREET 32,600301,1.34404145,103.7355001
795A,YISHUN RING ROAD,761795,1.419411849,103.8328413
41,HOLLAND DRIVE,270041,1.307620049,103.7934635
633,VEERASAMY ROAD,200633,1.305706696,103.8549432
633,VEERASAMY ROAD,200633,1.305706697,103.8549433
5,BEDOK SOUTH AVENUE 2,460005,1.322191579,103.9343993
347B,YISHUN AVENUE 11,762347,1.427495093,103.8423771
2A,BOON TIONG ROAD,164002,1.286529621,103.8331631
246A,BISHAN STREET 22,571246,1.360944332,103.843679
246,BISHAN STREET 22,570246,1.360674162,103.8433536
246,BISHAN STREET 22,570246,1.360661007,103.8433666
35,CIRCUIT ROAD,370035,1.329158997,103.8860103
252,HOUGANG AVENUE 3,530252,1.360165215,103.8927117
611,JURONG WEST STREET 65,640611,1.338906189,103.7007513
375,CLEMENTI AVENUE 4,120375,1.318492987,103.7667016
375,CLEMENTI AVENUE 4,120375,1.318488058,103.7667015
192,PASIR RIS STREET 12,510192,1.366247334,103.9590569
192,PASIR RIS STREET 12,510192,1.366247335,103.959057
157,YISHUN STREET 11,760157,1.432217901,103.8340914
111,EDGEFIELD PLAINS,820111,1.396677886,103.9065791
23,BENDEMEER ROAD,330023,1.317710415,103.862786
34,CASSIA CRESCENT,390034,1.309640784,103.8844718
17,EUNOS CRESCENT,400017,1.323370149,103.9044037
17,EUNOS CRESCENT,400017,1.323370157,103.9044037
761,CHOA CHU KANG NORTH 5,680761,1.393077884,103.7478449
248,JURONG EAST STREET 24,600248,1.342273144,103.7401014
248,JURONG EAST STREET 24,600248,1.342273143,103.7401014
771,WOODLANDS DRIVE 60,730771,1.446765941,103.7979619
6B,BOON TIONG ROAD,165006,1.286545996,103.8308245
5,SEMBONG ROAD,758330,1.441338571,103.8224106
5,CASUARINA ROAD,579394,1.373157535,103.8279801
212,BUKIT BATOK STREET 21,650212,1.347192811,103.7522173
140,BISHAN STREET 12,570140,1.344799671,103.8531065
140,BISHAN STREET 12,570140,1.344811486,103.8530933
988B,BUANGKOK GREEN,532988,1.379894363,103.8774062
980B,BUANGKOK CRESCENT,532980,1.379725297,103.8811333
860,TAMPINES AVENUE 5,520860,1.355460347,103.9375956
787,CHOA CHU KANG NORTH 6,682787,1.395820353,103.7477526
787,CHOA CHU KANG NORTH 6,NIL,1.395820354,103.7477526
281,TAMPINES STREET 22,520281,1.347177014,103.9525872
183D,RIVERVALE CRESCENT,544183,1.391450411,103.9087431
146,JALAN BUKIT MERAH,160146,1.277848766,103.8308115
146,JALAN BUKIT MERAH,160146,1.277837333,103.8308146
146,JALAN BUKIT MERAH,160146,1.277747186,103.8309932
128,BUKIT MERAH VIEW,150128,1.282646752,103.8233271
695,JURONG WEST CENTRAL 1,640695,1.34256318,103.7074222
803,CHAI CHEE ROAD,460803,1.324109573,103.9225791
798,WOODLANDS DRIVE 72,730798,1.44371803,103.8036343
206,BUKIT BATOK STREET 21,650206,1.346671926,103.7493835
206,BUKIT BATOK STREET 21,650206,1.346671921,103.7493835
352,YISHUN RING ROAD,760352,1.426462542,103.8449089
450,BUKIT PANJANG RING ROAD,670450,1.384528397,103.7724317
450,BUKIT PANJANG RING ROAD,670450,1.384528394,103.7724317
