school_name,postal_code,Latitude,Longitude
YISHUN TOWN SECONDARY SCHOOL,768610,1.43232156717386,103.838094226361
YU NENG PRIMARY SCHOOL,469623,1.33398037894072,103.932015036296
YUAN CHING SECONDARY SCHOOL,618654,1.34200635764467,103.72089870437
YUHUA PRIMARY SCHOOL,609558,1.34291981622016,103.740861148879
YUHUA SECONDARY SCHOOL,649406,1.34718626876968,103.722687235839
YUMIN PRIMARY SCHOOL,529393,1.35131569890862,103.950551091373
YUSOF ISHAK SECONDARY SCHOOL,658712,1.34233921440623,103.760032628302
YUYING SECONDARY SCHOOL,538884,1.35713595302467,103.890194755287
ZHANGDE PRIMARY SCHOOL,169485,1.28421153855474,103.825951884637
ZHENGHUA PRIMARY SCHOOL,679002,1.37942873617052,103.76970317201
ZHENGHUA SECONDARY SCHOOL,677741,1.38836583415352,103.765510638527
ZHONGHUA PRIMARY SCHOOL,556095,1.36026072476019,103.869712517383
ZHONGHUA SECONDARY SCHOOL,556123,1.34840720846208,103.869430481414
